"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"9066",19,33056,306.76,10.2421251431125,11.492871285191
"23405",33,58869,481.67,10.2542987616103,11.5142957219432
"12535",9,28203,199.69,12.8502332323612,14.1044185081042
"8730",8,18848,36,38.8381764791858,39.3165118720187
"14414",38,62597,542.62,17.8446545412806,19.1003757768129
"845",45,95691,680.53,15.143268657273,16.3933230749505
"12922",8,18753,127,11.0285842898942,12.1719558856628
"22912",116,186802,2138.97,5.01579101937815,6.29804589170028
"18942",11,17257,84.51,18.8746475912461,20.1345974079414
"26459",37,82215,675.03,11.2233965391995,12.47399564218
"2374",23,55393,397.54,15.5759308487983,16.8301450577575
"889",20,34477,184.9,24.4874715261959,25.7560995691193
"26912",36,77391,682.64,24.207728646555,25.4648731032522
"3196",43,100129,312,14.0410548025816,14.63522394654
"26330",34,57245,523.18,8.80257834491818,10.0915044402147
"12288",82,122215,920.22,13.4987184191601,14.7530646439081
"26694",45,102204,881.58,12.6403492340608,13.8932702007533
"11580",83,196860,1931.65,18.4570656117044,19.7145638759838
"26850",25,54325,387,12.8666846858693,13.809040282658
"15156",13,38738,281.44,27.0042689329979,28.255517113522
"24866",15,33526,286.78,14.4250529577287,15.6843578853443
"10635",5,6439,35.77,22.8312926759337,24.0974559922409
"11201",27,57748,426.87,25.3006227326609,26.552805553054
"1743",55,82548,470.08,27.723491400289,28.9805820569349
"10641",5,3474,19.01,136.788101227177,138.049790603368
"21031",97,218678,1773.64,10.8642668365334,12.1201684354351
"19992",32,73065,551,12.2781974472519,13.4264131284189
"1868",27,66157,520.89,18.0419651170925,19.3027484830493
"26905",8,20554,130,15.5245441169914,16.6837576352044
"24338",31,46444,191,10.5547398790517,11.2084218884223
"25703",21,51038,144,15.416723379157,16.0700512680913
"26318",79,122103,929.76,17.052077478432,18.3046918069732
"17280",15,41023,145,25.7525187611427,26.5040009950661
"11296",39,78398,601.78,18.2409623558342,19.5061820799575
"19553",303,9284863,340369,5.69012985884515,9.25172175331332
"25796",13,24942,214.79,12.3599600678213,13.6205468783471
"2405",19,43359,342.63,13.5055550220839,14.7565440237645
"27209",52,113483,1133.23,8.95569229213049,10.2070929303809
"17967",18,45337,252.66,36.1404557098993,37.4155915204932
"10606",19,57462,379.76,25.5610363766406,26.8138834564539
"24027",24,47451,259.4,16.077929745154,17.3541277181934
